mes,NomBandeiraAcionada,nivel,ena_pct_mlt_nordeste,ena_pct_mlt_norte,ena_pct_mlt_sudeste,ena_pct_mlt_sul,ena_nacional_mwmed,ena_nacional_pct_mlt_media_subsis,novas_conexoes,potencia_nova_kw,potencia_acumulada_kw,potencia_acumulada_mw,conexoes_acumuladas
2022-05,Verde,0,53.48172575387097,89.79695166387097,67.6731711351613,217.5296458580645,2095425.8544924099,107.12037360274194,63853,613986.91,11413651.790000003,11413.651790000004,1061540
2022-06,Verde,0,62.708573150666666,93.09635925266666,74.73203735333333,230.69948069233334,1838926.75317399,115.30911261224999,64794,640725.78,12054377.570000002,12054.377570000002,1126334
2022-07,Verde,0,65.12841329290323,101.79880326806452,65.93878063096774,71.43838316354838,1002808.49731457,76.07609508887097,66999,702449.97,12756827.540000003,12756.827540000002,1193333
2022-08,Verde,0,62.84390025,105.9059029848387,78.35307410451612,126.14643921387096,1053425.09521496,93.31232913830645,67688,727257.93,13484085.470000003,13484.085470000002,1261021
2022-09,Verde,0,76.13833643599999,101.07476018366667,82.29392751,83.54817708233332,911182.46801767,85.763800303,64695,738252.38,14222337.850000003,14222.337850000004,1325716
2022-10,Verde,0,59.98069024806452,92.76651567032258,103.62067044225806,155.2195654832258,1529584.84460462,102.89686046096774,65549,679405.24,14901743.090000004,14901.743090000004,1391265
2022-11,Verde,0,80.12882397933335,108.385534669,77.86879628499999,83.68215662666667,1225537.29614266,87.51632789,77073,831650.98,15733394.070000004,15733.394070000004,1468338
2022-12,Verde,0,96.48188092645161,129.37805520290323,89.57542210193549,109.99622320354838,2216782.69384772,106.35789535870968,95220,996577.0,16729971.070000004,16729.971070000003,1563558
2023-01,Verde,0,107.6675545483871,131.15026215580644,118.65419080225807,93.63307460741936,3712875.3310548,112.77627052846773,103016,1065953.89,17795924.960000005,17795.924960000004,1666574
2023-02,Verde,0,97.75927175749999,99.22793551785715,104.55776378035715,86.46680041750001,3286265.74755869,97.00294286830356,86014,933543.38,18729468.340000004,18729.468340000003,1752588
2023-03,Verde,0,55.561470647419355,103.46337127741936,102.83466068451612,114.43122248580644,3555473.18359388,94.07268127379032,82761,1006313.35,19735781.690000005,19735.781690000003,1835349
2023-04,Verde,0,37.300166702666665,104.26523640966667,100.69730657033332,95.05744628833332,2815941.84545908,84.33003899274999,54414,731330.81,20467112.500000004,20467.112500000003,1889763
2023-05,Verde,0,54.169418827741936,91.6149903567742,91.57778684612903,61.90640332677419,1996520.5434572,74.81714983935484,55671,861956.88,21329069.380000003,21329.069380000004,1945434
2023-06,Verde,0,50.880926513999995,74.903227234,94.75460077933333,78.933040047,1483864.35205092,74.86794864358333,37284,557322.25,21886391.630000003,21886.391630000002,1982718
2023-07,Verde,0,58.4039643816129,76.79195810129032,89.17887706096775,147.66916016548387,1403067.732422,93.01098992733871,37094,492045.93,22378437.560000002,22378.437560000002,2019812
2023-08,Verde,0,65.33561263516128,68.54553530193549,90.08954521870967,81.41274839806452,960021.57067882,76.34586038846774,39274,527660.39,22906097.950000003,22906.097950000003,2059086
2023-09,Verde,0,70.19261296633334,73.82187995866666,88.0484965,138.40230026266667,1114789.64563002,92.61632242191666,37145,523892.56,23429990.51,23429.990510000003,2096231
2023-10,Verde,0,48.85758036903226,56.079609533225806,95.37718372935484,341.3183217206452,2193342.93493663,135.40817383806453,44697,584556.63,24014547.14,24014.547140000002,2140928
2023-11,Verde,0,40.92754681966667,36.816460037,84.19493001366666,503.09229075133334,2308512.47253427,166.25780690541666,53057,605022.96,24619570.1,24619.5701,2193985
2023-12,Verde,0,18.194148402580645,27.435687034193545,58.53334193064516,208.84639223161292,1478622.56518569,78.25239239975807,60894,701424.53,25320994.630000003,25320.99463,2254879
2024-01,Verde,0,47.55014222709677,42.80165155419355,56.327522277419355,137.3669975035484,1879168.99438489,71.01157839056451,69948,798562.21,26119556.840000004,26119.556840000005,2324827
2024-02,Verde,0,67.67299231172414,73.12370011,61.3657590937931,86.87274788206896,2233184.27246108,72.25879984939655,70411,736561.22,26856118.060000002,26856.11806,2395238
2024-03,Verde,0,60.841655114516136,69.66908104129031,66.35573528580646,137.68951932903224,2571652.45214857,83.63899769266129,76752,859535.19,27715653.250000004,27715.653250000003,2471990
2024-04,Verde,0,70.554959998,80.56003367166666,84.330810547,145.98826026933332,2568673.97070326,95.3585161215,80779,881370.72,28597023.970000003,28597.023970000002,2552769
2024-05,Verde,0,43.65578048483871,72.68810961258065,59.955854970322584,343.0944085893548,2213303.59643578,129.8485384142742,78197,874515.09,29471539.060000002,29471.539060000003,2630966
2024-06,Verde,0,40.378823344666664,51.342513656,56.038903046,152.70356928533332,1252096.70642106,75.115952333,73173,876777.06,30348316.12,30348.31612,2704139
2024-07,Amarela,1,43.27112247032258,50.45665790161291,58.53175157096774,178.57856233645163,1200178.38891608,82.70952356983872,77620,944191.21,31292507.330000002,31292.50733,2781759
2024-08,Verde,0,42.17486473903226,48.94101272064516,58.16821928967742,62.78200051032258,655991.46118172,53.01652431491935,73722,933094.41,32225601.740000002,32225.601740000002,2855481
2024-09,Vermelha P1,2,41.121476364,49.67952346733333,48.689133326333334,56.12015660666667,552494.81646739,48.90257244108333,67701,800434.7,33026036.44,33026.03644,2923182
2024-10,Vermelha P2,3,40.206215765806455,44.74773911516129,59.429212631612906,81.75955446225807,855403.47705088,56.53568049370968,75801,904742.0,33930778.44,33930.778439999995,2998983
2024-11,Amarela,1,72.30177955633333,65.070540364,111.76605428066667,77.07155990666666,1469109.7801514,81.55248352691666,76729,858012.21,34788790.65,34788.790649999995,3075712
2024-12,Verde,0,56.544832291612906,74.89738119870968,97.35261289419354,211.99127320193548,2302015.74267589,110.19652489661291,86904,1023613.95,35812404.6,35812.4046,3162616
2025-01,Verde,0,101.82104838709677,108.1231741935484,97.63392258064516,70.21527096774194,3118231.955,94.44835403225807,74810,851456.59,36663861.190000005,36663.86119,3237426
2025-02,Verde,0,87.47983214285715,112.57504642857143,84.080975,85.21301071428572,2934825.693,92.33721607142857,75443,809863.29,37473724.480000004,37473.724480000004,3312869
2025-03,Verde,0,25.37230322580645,99.81852580645162,61.86237096774194,51.96170322580645,2386130.95,59.75372580645162,84212,890191.16,38363915.64,38363.91564,3397081
2025-04,Verde,0,30.487706666666668,79.24658333333333,83.81996000000001,64.21383666666667,2252481.552,64.44202166666666,80063,845013.72,39208929.36,39208.92936,3477144
2025-05,Amarela,1,46.34356129032258,66.48687419354839,84.1642870967742,39.6377935483871,1664861.535,59.15812903225807,80534,796670.73,40005600.089999996,40005.60008999999,3557678
2025-06,Vermelha P1,2,41.41366,59.69938333333334,83.26468333333334,174.05857,1611386.223,89.60907416666667,68393,739185.92,40744786.01,40744.786009999996,3626071
2025-07,Vermelha P1,2,46.44947741935484,65.5518,79.68376774193548,111.5417064516129,1170784.261,75.80668790322581,75144,829654.88,41574440.89,41574.44089,3701215
2025-08,Vermelha P2,3,43.8814129032258,69.34403225806452,70.67543870967742,103.98339032258065,884382.84,71.9710685483871,65526,722529.94,42296970.83,42296.97083,3766741
2025-09,Vermelha P2,3,43.03135333333333,59.40672666666667,61.48379666666666,107.52316666666667,817526.596,67.86126083333333,66050,660939.48,42957910.309999995,42957.91030999999,3832791
2025-10,Vermelha P1,2,36.19465161290323,52.60480322580646,60.09993870967742,87.7538935483871,889001.259,59.16332177419355,68033,774645.61,43732555.919999994,43732.55591999999,3900824
2025-11,Vermelha P1,2,30.91798,44.607553333333335,74.17017,94.63195666666667,1077886.569,61.081914999999995,69626,685144.76,44417700.67999999,44417.700679999994,3970450
2025-12,Amarela,1,41.87939032258064,63.91473548387097,71.04377096774193,81.08111612903225,1538274.05,64.47975322580645,79077,728487.43,45146188.10999999,45146.188109999996,4049527
2026-01,Verde,0,44.817619354838705,61.08047419354838,64.99846774193549,85.84180967741936,2016733.8260000001,64.18459274193549,74576,710908.26,45857096.36999999,45857.09636999999,4124103
2026-02,Verde,0,93.32942142857144,61.79292857142857,89.01632142857143,51.86696428571429,2659712.7060000002,74.00140892857144,75121,649507.35,46506603.71999999,46506.60371999999,4199224
2026-03,Verde,0,105.16253548387097,96.7911258064516,89.5147193548387,45.20295483870968,3291026.4340000004,84.16783387096774,78681,668302.23,47174905.94999999,47174.905949999986,4277905
2026-04,Verde,0,88.36069,82.96634333333333,83.21657333333333,52.76589666666667,2450677.4729999998,76.82737583333333,79176,717112.58,47892018.52999999,47892.01852999999,4357081
2026-05,Amarela,1,53.06176451612903,76.51757419354838,86.67955483870968,111.93575806451612,1969485.931,82.0486629032258,48420,410453.85,48302472.37999999,48302.472379999985,4405501
2026-06,Amarela,1,57.06646666666666,58.56142666666666,93.16841,76.48637333333333,1418611.976,71.32066916666666,42376,370798.22,48673270.59999999,48673.27059999999,4447877
2026-07,Amarela,1,62.319325806451616,63.834858064516126,93.7070129032258,260.4424903225806,1805481.9530000002,120.07592177419355,14087,103558.53,48776829.12999999,48776.82912999999,4461964
2026-08,Amarela,1,64.40656315789474,67.5031947368421,99.94713684210527,208.69354210526316,867341.965,110.13760921052632,4,22.5,48776851.62999999,48776.85162999999,4461968
